Grupo 1,Grupo 2,Grupo 3,Grupo 4,Grupo 5
2CO001001,2CO001001,2CO001001,2CO001001,2CO001001
2CO001002,2CO001002,2CO001002,2CO001002,2CO001002
2CO001003,2CO001003,2CO001003,2CO001003,2CO001003
2CO001004,2CO001004,2CO001004,2CO001004,2CO001004
2CO001005,2CO001005,2CO001005,2CO001005,2CO001005
2CO001006,2CO001006,2CO001006,2CO001006,2CO001006
2CO001007,2CO001007,2CO001007,2CO001007,2CO001007
2CO001008,2CO001008,2CO001008,2CO001008,2CO001008
2CO001009,2CO001009,2CO001009,2CO001009,2CO001009
2CO001010,2CO001010,2CO001010,2CO001010,2CO001010
2CO001011,2CO001011,2CO001011,2CO001011,2CO001011
2CO001012,2CO001012,2CO001012,2CO001012,2CO001012
2CO001013,2CO001013,2CO001013,2CO001013,2CO001013
2CO001014,2CO001014,2CO001014,2CO001014,2CO001014
2CO001015,2CO001015,2CO001015,2CO001015,2CO001015
2CO001016,2CO001016,2CO001016,2CO001016,2CO001016
2CO001017,2CO001017,2CO001017,2CO001017,2CO001017
2CO001018,2CO001018,2CO001018,2CO001018,2CO001018
2CO001019,2CO001019,2CO001019,2CO001019,2CO001019
2CO001020,2CO001020,2CO001020,2CO001020,2CO001020
2CO001021,2CO001021,2CO001021,2CO001021,2CO001021
2CO001022,2CO001022,2CO001022,2CO001022,2CO001022
2CO001023,2CO001023,2CO001023,2CO001023,2CO001023
2CO001024,2CO001024,,2CO001024,2CO001024
2CO002001,2CO002001,2CO002001,2CO002001,2CO002001
2CO002002,2CO002002,2CO002002,2CO002002,2CO002002
2CO002003,2CO002003,2CO002003,2CO002003,2CO002003
2CO002004,2CO002004,2CO002004,2CO002004,2CO002004
2CO002005,2CO002005,2CO002005,2CO002005,2CO002005
2CO002006,2CO002006,2CO002006,2CO002006,2CO002006
2CO002007,2CO002007,2CO002007,2CO002007,2CO002007
2CO002008,2CO002008,2CO002008,2CO002008,2CO002008
2CO002009,2CO002009,2CO002009,2CO002009,2CO002009
2CO002010,2CO002010,2CO002010,2CO002010,2CO002010
2CO002011,2CO002011,2CO002011,2CO002011,2CO002011
2CO002012,2CO002012,2CO002012,2CO002012,2CO002012
