Grupo 1,Grupo 2,Grupo 3,Grupo 4,Grupo 5
,  ,,,
2RY001001,2RY001001,2RY001001,2RY001001,2RY001001
2RY001002,2RY001002,2RY001002,2RY001002,2RY001002
2RY001003,2RY001003,2RY001003,2RY001003,2RY001003
2RY001004,2RY001004,2RY001004,2RY001004,2RY001004
2RY001005,2RY001005,2RY001005,2RY001005,2RY001005
2RY001006,2RY001006,2RY001006,2RY001006,2RY001006
2RY001007,2RY001007,2RY001007,2RY001007,2RY001007
2RY001008,2RY001008,2RY001008,2RY001008,2RY001008
2RY001009,2RY001009,2RY001009,2RY001009,2RY001009
2RY001010,2RY001010,2RY001010,2RY001010,2RY001010
2RY001011,2RY001011,2RY001011,2RY001011,2RY001011
2RY001012,2RY001012,2RY001012,2RY001012,2RY001012
2RY001013,2RY001013,2RY001013,2RY001013,2RY001013
2RY001014,2RY001014,2RY001014,2RY001014,2RY001014
2RY001015,2RY001015,2RY001015,2RY001015,2RY001015
2RY001016,2RY001016,2RY001016,2RY001016,2RY001016
2RY001017,2RY001017,2RY001017,2RY001017,2RY001017
2RY001018,2RY001018,2RY001018,2RY001018,2RY001018
2RY002001,2RY002001,2RY002001,2RY002001,2RY002001
2RY002002,2RY002002,2RY002002,2RY002002,2RY002002
2RY002003,2RY002003,2RY002003,2RY002003,2RY002003
2RY002004,2RY002004,2RY002004,2RY002004,2RY002004
2RY002005,2RY002005,2RY002005,2RY002005,2RY002005
2RY002006,2RY002006,2RY002006,2RY002006,2RY002006
2RY002007,2RY002007,2RY002007,2RY002007,2RY002007
2RY002008,2RY002008,2RY002008,2RY002008,2RY002008
2RY002009,2RY002009,2RY002009,2RY002009,2RY002009
2RY002010,2RY002010,2RY002010,2RY002010,2RY002010
2RY002011,2RY002011,2RY002011,2RY002011,2RY002011
2RY002012,2RY002012,2RY002012,2RY002012,2RY002012
2RY002013,2RY002013,2RY002013,2RY002013,2RY002013
2RY002014,2RY002014,2RY002014,2RY002014,2RY002014
2RY002015,2RY002015,2RY002015,2RY002015,2RY002015
2RY002016,2RY002016,2RY002016,2RY002016,2RY002016
2RY002017,2RY002017,2RY002017,2RY002017,2RY002017
2RY002018,2RY002018,2RY002018,2RY002018,2RY002018
2RY002019,2RY002019,2RY002019,2RY002019,2RY002019
2RY002020,2RY002020,2RY002020,2RY002020,2RY002020
2RY002021,2RY002021,2RY002021,2RY002021,2RY002021
2RY002022,2RY002022,2RY002022,2RY002022,2RY002022
2RY002023,2RY002023,2RY002023,2RY002023,2RY002023
